created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 15 10:59:12 +0000 2023;1713509824653328755;"AKU SALTING TOLONG 🫠";0;1;0;0;in;1365875613026820097;1713509824653328755;ayamgeprek71;https://twitter.com/ayamgeprek71/status/1713509824653328755
Sun Oct 15 10:59:11 +0000 2023;1713509822908526818;"@ini_iaan Ayam geprek baru makanan";0;0;0;0;in;1284790782138806277;1713503338283913446;tinkcake;https://twitter.com/tinkcake/status/1713509822908526818
Sun Oct 15 10:52:05 +0000 2023;1713508034289529198;"@WONWOO134 @convomf Anjir lu ngekos bisa bisanya makan mekdi.. minimal ayam geprek bro";0;0;0;0;in;1274386659941822467;1713139453605343314;anakgubernur04;https://twitter.com/anakgubernur04/status/1713508034289529198
Sun Oct 15 10:51:21 +0000 2023;1713507848498610308;"@ohmybeautybank kalo kamu tim low budget tapi tetep oke kualitasnya, sender harus coba lip mousse dazzle me. aku biasa pake ini with/without ombre. abis buat makan ayam geprek juga masii amann banget. aku pake warna yang blazing hot. https://t.co/MC9Yh80oXr https://t.co/MVdDfnwp9O";0;1;0;0;in;2955710108;1713440342501101877;ayakhaselna;https://twitter.com/ayakhaselna/status/1713507848498610308
Sun Oct 15 10:48:14 +0000 2023;1713507065896050976;"@convomfs INDOMIE AYAM GEPREK";0;0;0;0;in;742075468501880832;1713505468327588007;arthmies;https://twitter.com/arthmies/status/1713507065896050976
Sun Oct 15 10:43:04 +0000 2023;1713505766622347454;"@danishiitt klo gue sama ayam geprek";0;0;0;0;in;1329338962972864514;1713423517465895082;lesseupeiseu;https://twitter.com/lesseupeiseu/status/1713505766622347454
Sun Oct 15 10:42:41 +0000 2023;1713505669142515950;"@uinwsfess klo suka pedes sambel banyak, jwbannya ayam geprek sari asih!! deket elisa";0;0;0;0;in;1372158996065312770;1713498633474322855;DersikN;https://twitter.com/DersikN/status/1713505669142515950
Sun Oct 15 10:42:39 +0000 2023;1713505660242108429;"@yedamdaughter udah kok, td makan ayam geprek sama aku😋";0;1;0;0;in;1210907234508558341;1713499865999970413;areethds;https://twitter.com/areethds/status/1713505660242108429
Sun Oct 15 10:37:40 +0000 2023;1713504407491580219;"salah. ayam geprek kantin kampus lah";0;0;0;0;in;1151882278882009088;1713504407491580219;mondejungwoo;https://twitter.com/mondejungwoo/status/1713504407491580219
Sun Oct 15 10:36:15 +0000 2023;1713504050954842139;"@erlandhitama Maunya jadi ayam geprek cabe 10";0;0;0;0;in;3037542559;1713477806859141290;rojeeuu;https://twitter.com/rojeeuu/status/1713504050954842139
